Iteración,a,xi,b,fxi,Error
0,2,1.5,1,-0.125,1.00001
1,2,1.75,1.5,1.609375,0.25
2,1.75,1.625,1.5,0.666015625,0.125
3,1.625,1.5625,1.5,0.252197265625,0.0625
4,1.5625,1.53125,1.5,0.059112548828125,0.03125
5,1.53125,1.515625,1.5,-0.0340538024902344,0.015625
6,1.53125,1.5234375,1.515625,0.0122504234313965,0.0078125
7,1.5234375,1.51953125,1.515625,-0.0109712481498718,0.00390625
8,1.5234375,1.521484375,1.51953125,0.000622175633907318,0.001953125
9,1.521484375,1.5205078125,1.51953125,-0.00517888646572828,0.0009765625
10,1.521484375,1.52099609375,1.5205078125,-0.00227944331709296,0.00048828125
11,1.521484375,1.521240234375,1.52099609375,-0.000828905860544182,0.000244140625
12,1.521484375,1.5213623046875,1.521240234375,-0.000103433123513241,0.0001220703125
13,1.521484375,1.52142333984375,1.5213623046875,0.000259354251966215,6.103515625e-05
14,1.52142333984375,1.52139282226562,1.5213623046875,7.79563135040462e-05,3.0517578125e-05
15,1.52139282226562,1.52137756347656,1.5213623046875,-1.27394676745496e-05,1.52587890625e-05
