i,xn,Fm,dfm,Error
0,8,917.697720516347,132.914489174293,1.00005
1,1.09557801999333,232.406144223881,66.0053344995116,6.90442198000667
2,-2.42544260638651,58.5286502095872,32.8783058756803,3.52102062637984
3,-4.2056027652127,14.689665365411,16.4064254098849,1.7801601588262
4,-5.10096327174695,3.67988913021451,8.194810331834,0.89536050653425
5,-5.55001443720461,0.920925169987896,4.09527592842552,0.449051165457658
6,-5.7748894361261,0.230351610320873,2.04710200343721,0.224874998921491
7,-5.8874151480516,0.057603018790406,1.02341655056436,0.112525711925492
8,-5.9437001658761,0.0144026490373948,0.511674604586756,0.0562850178245027
9,-5.97184822893861,0.00360089935371958,0.255828877363135,0.0281480630625133
10,-5.98592365072381,0.000900254494127775,0.127912331540827,0.0140754217851971
11,-5.9929617093948,0.000225067331676575,0.0639556388716374,0.00703805867099216
12,-5.99648082570178,5.62672965111633e-05,0.0319776876969239,0.00351911630698076
13,-5.99824040560151,1.40668820814074e-05,0.0159888109119582,0.00175957989972453
14,-5.99912020098835,3.51672776484639e-06,0.00799439722163525,0.000879795386840243
15,-5.99956010004106,8.79182846791195e-07,0.00399719655220329,0.000439899052717685
16,-5.99978004990725,2.19795824896498e-07,0.00199859776144514,0.000219949866189673
17,-5.99989002492531,5.49489703743591e-08,0.000999298752060981,0.000109975018053099
18,-5.99994501245557,1.37372443621998e-08,0.000499649343861879,5.49875302668923e-05
19,-5.99997250622602,3.43431131157053e-09,0.000249824663886746,2.74937704434208e-05
