Iteration,xi,fxi,Error
0,-0.5,-0.25,1.00001
1,0.707106781186548,-1.20710678118655,1.20710678118655
2,1.30656296487638,-0.599456183689829,0.599456183689829
3,1.51873729291026,-0.212174328033881,0.212174328033881
4,1.58705302145526,-0.0683157285449991,0.0683157285449987
5,1.60843185166648,-0.0213788302112225,0.0213788302112223
6,1.61506403949394,-0.0066321878274601,0.00663218782746045
7,1.61711596352703,-0.00205192403308575,0.00205192403308674
8,1.61775027848152,-0.000634314954491242,0.000634314954491622
9,1.61794631508017,-0.000196036598658204,0.000196036598657967
10,1.61800689586917,-6.05807889912769e-05,6.05807889912935e-05
11,1.61802561656766,-1.87206984970557e-05,1.87206984967325e-05
12,1.61803140160124,-5.78503357366569e-06,5.78503357395732e-06
