n,x_m,x_i,x_s,f_m,f_i,f_s,E
0,1.75,1,3,-0.9375,-3,5,1.000001
1,1.94736842105263,1.75,3,-0.207756232686981,-0.9375,5,0.197368421052632
2,1.98936170212766,1.94736842105263,3,-0.0424400181077411,-0.207756232686981,5,0.0419932810750281
3,1.99786780383795,1.98936170212766,3,-0.00852423838771419,-0.0424400181077411,5,0.00850610171029342
4,1.99957337883959,1.99786780383795,3,-0.00170630263602372,-0.00852423838771419,5,0.00170557500163748
5,1.99991466848707,1.99957337883959,3,-0.000341318770243798,-0.00170630263602372,5,0.000341289647481702
6,1.99998293340615,1.99991466848707,3,-6.82660841266283e-05,-0.000341318770243798,5,6.82649190788531e-05
7,1.99999658666958,1.99998293340615,3,-1.36533100321914e-05,-6.82660841266283e-05,5,1.36532634280595e-05
8,1.99999931733345,1.99999658666958,3,-2.73066573379025e-06,-1.36533100321914e-05,5,2.73066387079801e-06
9,1.99999986346667,1.99999931733345,3,-5.46133295042234e-07,-2.73066573379025e-06,5,5.46133221535072e-07
